nome_oficial,nome_estadio,imagem,id_estadio,local,uf_estadio,capacidade
Estádio Arena da Floresta,Arena da Floresta,https://s2-ge.glbimg.com/OXrMYlCUTKYpc-YpRYzClDldChI=/0x0:1024x576/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_bc8228b6673f488aa253bbcb03c80ec5/internal_photos/bs/2025/X/U/RQJRbGQPGLL1b46GfzjQ/whatsapp-image-2024-11-21-at-10.52.23-1-1024x576.jpeg,arenadafloresta-ac,Rio Branco - AC,AC,20.000
Estádio Antônio Aquino Lopes,Florestão,https://s2-ge.glbimg.com/iYuT23onMmm66pBsz9auBh7q248=/0x0:1280x720/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_bc8228b6673f488aa253bbcb03c80ec5/internal_photos/bs/2025/K/s/zYdR0UTgCAJhz84H3DKQ/37ab8b58-794e-4658-840d-a728a174c87c.jpg,florestao-ac,Rio Branco - AC,AC,8.000
Estádio Municipal Coaracy da Mata Fonseca,Coaracy da Mata Fonseca,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdoNnEqKlLax4A2Ho3NGbq64TLCjWKqMYC5DSau9AFmmnhsewDScgP9Ls&s=10,coaracydamatafonseca-al,Arapiraca - AL,AL,12.500
Estádio Municipal de Arapiraca,Fumerão,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKJ8c9DS0-Akl_hU8qmALKjRd2efJg4MBDeNUvtCXkUgfVZ230aQ-i5TGv&s=10,fumerao-al,Arapiraca - AL,AL,15.332
Estádio Severiano Gomes Filho,Pajuçara,,pajucara-al,Maceió - AL,AL,6.000
Estádio Rei Pelé,Trapichão,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvKkkWwfOZa_kEUwojQSLs9SZgFyW3dEB_RoNxLyW9aXiv8C1AO087-eT7&s=10,trapichao-al,Maceió - AL,AL,17.126
Arena da Amazônia,Arena da Amazônia,https://visitemanaus.com/wp-content/uploads/2025/03/Arena-da-Amazonia.webp,arenadaamazonia-am,Manaus - AM,AM,44.000
Estádio Ismael Benigno,Estádio da Colina,https://imotiondigital.com.br/wp-content/uploads/2022/12/estadio-ismael-benigno-da-colina.jpg,estadiodacolina-am,Manaus - AM,AM,10.451
Estádio Milton de Souza Corrêa,Zerão,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/e3/e3/07/o-estadio-visto-do-ceu.jpg?w=1200&h=-1&s=1,zerao-ap,Macapá - AP,AP,13.680
Complexo Esportivo Cultural Octávio Mangabeira,Arena Fonte Nova,https://upload.wikimedia.org/wikipedia/commons/3/34/Arena_Fonte_Nova_view_from_lake_%28zoom%29.jpg?utm_source=pt.wikipedia.org&utm_campaign=index&utm_content=original,arenafontenova-ba,Salvador - BA,BA,50.025
Estádio Manoel Barradas,Barradão,https://campodelas.ig.com.br/wp-content/uploads/2025/11/Sem-nome-1600-x-1000-px-19.jpg,barradao-ba,Salvador - BA,BA,35.000
Estádio Antônio de Figueiredo Carneiro,Carneirão,https://www.alagoinhas.ba.gov.br/wp-content/uploads/2024/01/IMG-20240119-WA0010.jpg,carneirao-ba,Alagoinhas - BA,BA,13.785
Estádio Alberto Oliveira,Joia da Princesa,https://campanelli.com.br/wp-content/uploads/2021/01/joia-da-princesa-2.jpg,joiadaprincesa-ba,Feira de Santana - BA,BA,16.274
Estádio Municipal Lomanto Júnior,Lomantão,https://www.pmvc.ba.gov.br/wp-content/uploads/WhatsApp-Image-2019-11-21-at-15.53.57-680x452.jpeg,lomantao-ba,Vitória da Conquista - BA,BA,11.538
Estádio Governador Roberto Santos,Pituaçu,https://live.staticflickr.com/688/20674274443_9ee3bbe299_b.jpg,pituacu-ba,Salvador - BA,BA,32.157
Estádio Governador Plácido Aderaldo Castelo,Arena Castelão,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUvp99zDwidiPmIdp65_RpVmLpm6WWX3x0WGKwd7bvXn8A5deHcuECGg4&s=10,arenacastelao-ce,Fortaleza - CE,CE,63.903
Estádio Mauro Sampaio,Arena Romeirão,https://upload.wikimedia.org/wikipedia/commons/e/e1/Arena_Mauro_Sampaio%2CO_Romeir%C3%A3o.jpg?utm_source=pt.wikipedia.org&utm_campaign=index&utm_content=original,arenaromeirao-ce,Juazeiro do Norte - CE,CE,17.230
Estádio Olímpico Horácio Domingos de Sousa,Domingão,https://www.rbsdirect.com.br/filestore/8/6/0/1/0/4/5_e05cb4ba9b154c3/5401068_b3d05e91bfa165a.jpg?format=webp&h=408,domingao-ce,Horizonte - CE,CE,10.500
